ID	logNO2	logCars	temp	windsp	tempdiff	winddir	timehr	day	NO2	Cars	Time	IMorn	IAft	Train	NO2Cat	HoldOut
22	3.42751	5.18178	0.2	0.4	0.2	230	5	112	30.79985555	177.999368	Morning	1	0	1	2	1
23	4.32413	7.63964	-2.1	4.3	-0.2	41.4	11	432	75.49979945	2078.995244	Morning	1	0	1	3	1
24	3.65584	8.00703	-2.8	6	-0.2	62.5	15	453	38.70001548	3001.987955	Afternoon	0	1	1	2	1
25	3.93183	7.75319	-5.4	2.5	1.4	83	20	98	51.00022273	2328.990055	Evening	0	0	1	2	1
26	2.28238	4.65396	-5.7	4.9	-0.1	58.5	4	409	9.79997662	104.9999632	Evening	0	0	1	1	1
27	4.13035	6.67582	6.6	1.6	0.4	104.5	23	579	62.19968902	792.9974452	Evening	0	0	1	3	1
28	3.77963	7.79688	5.7	4.8	-1.5	223	11	178	43.7998328	2432.999166	Morning	1	0	1	2	1
29	3.97968	8.02224	13.8	0.8	-0.1	201.6	17	602	53.49991152	3047.997206	Afternoon	0	1	1	2	1
30	3.7542	7.48829	3.2	4.2	-0.6	285	12	121	42.70004611	1786.993718	Morning	1	0	1	2	1
31	3.45632	7.75148	2.1	4.9	0.2	149	19	60	31.70010522	2325.010886	Afternoon	0	1	1	2	1
32	2.36085	6.12468	5.3	3.2	0	73	1	209	10.59995759	456.9984504	Evening	0	0	1	1	1
33	4.23411	7.71244	7.5	1.8	-2.7	273.9	12	530	69.00024118	2235.991427	Morning	1	0	1	3	1
34	2.2192	7.56941	10.7	3.1	-0.9	56	13	189	9.199967947	1937.996526	Afternoon	0	1	1	1	1
35	4.53475	7.35947	-9.6	1.3	0.1	64.6	21	437	93.20021234	1571.00371	Evening	0	0	1	3	1
36	2.10413	7.99564	3.2	6.5	0	42.8	18	553	8.199965935	2967.989302	Afternoon	0	1	1	1	1
37	4.5819	8.30251	3.5	0.5	-2.2	207.9	8	535	97.69984768	4033.985	Morning	1	0	1	3	1
38	4.03247	5.95584	6.7	1.1	0.6	89.9	5	605	56.40004746	386.0010154	Morning	1	0	1	2	1
39	3.21084	6.74052	-6.4	2.8	-0.1	77	22	84	24.7999094	846.0005418	Evening	0	0	1	1	1
40	4.04655	6.45205	-3	0.6	1.7	57	6	73	57.19977701	634.0006629	Morning	1	0	1	2	1
41	3.94546	6.39359	-13.4	4.4	-0.1	80	6	95	51.7001147	597.9995491	Morning	1	0	1	2	1
42	3.89182	7.16317	1.4	0.9	0.2	274	10	76	48.99998539	1290.996913	Morning	1	0	1	2	1
43	3.22287	7.643	8.5	4.3	-0.2	322	13	32	25.10005406	2085.992416	Afternoon	0	1	1	1	1
44	3.3569	5.93754	-2.8	2.1	-0.2	65	1	124	28.70008258	379.0014383	Evening	0	0	1	1	1
45	3.31782	7.61923	16.6	4.8	-1.1	136.9	14	595	27.60011667	2036.993041	Afternoon	0	1	1	1	1
46	3.81551	8.34854	2.7	7.7	0.1	219	17	159	45.39990443	4224.009186	Afternoon	0	1	1	2	1
47	3.45632	8.1274	19.1	5.1	-1.2	266.6	16	603	31.70010522	3385.984551	Afternoon	0	1	1	2	1
48	2.66723	6.83626	7.8	7.5	0.8	220	21	34	14.40002583	931.0006729	Evening	0	0	1	1	1
49	3.76815	5.27811	1.5	3.3	1.6	251	5	156	43.2998859	195.9990868	Morning	1	0	1	2	1
50	2.87356	5.68358	0.3	2.1	1.1	220.4	5	538	17.69991788	294.0000684	Morning	1	0	1	1	1
51	3.48431	7.76004	-7.3	0.5	-0.3	176	13	84	32.5999254	2344.998403	Afternoon	0	1	1	2	1
52	2.92852	6.30079	-1.6	2	0.1	289.1	7	510	18.6999341	545.0022919	Morning	1	0	1	1	1
53	3.32143	5.52146	1.1	1	0.2	9	5	113	27.69993315	249.9997705	Morning	1	0	1	1	1
54	4.35543	7.79811	16.1	1.7	-0.2	246.1	19	570	77.90031527	2435.993596	Afternoon	0	1	1	3	1
55	3.7329	6.14419	-7.9	1.2	0.3	56	11	86	41.80015301	466.0020345	Morning	1	0	1	2	1
56	2.70805	6.54965	1.1	2.8	0	66	24	59	14.99999698	698.9994812	Evening	0	0	1	1	1
57	2.4248	5.64545	0.3	7.1	-0.1	69.5	2	425	11.2999692	283.000878	Evening	0	0	1	1	1
58	3.45632	6.632	4.1	3.9	0.3	212	6	106	31.70010522	758.998651	Morning	1	0	1	2	1
59	4.26127	7.64012	5.9	2.4	2.6	249	16	48	70.89996926	2079.993401	Afternoon	0	1	1	3	1
60	2.57261	6.86589	-6.8	6.9	-0.1	50	10	90	13.09997078	958.9989692	Morning	1	0	1	1	1
61	3.79549	6.6896	0.3	0.6	0.7	252	21	104	44.50003608	804.0005876	Evening	0	0	1	2	1
62	4.08429	7.36771	1.8	1.7	0.7	91	22	140	59.39974895	1584.002261	Evening	0	0	1	2	1
63	5.11259	7.6256	-7.9	1	-0.2	188.9	12	443	166.0999972	2050.010102	Morning	1	0	1	3	1
64	3.37417	5.50533	3.4	6.3	0.6	186	2	475	29.20003769	245.9996222	Evening	0	0	1	1	1
65	4.13035	8.06778	3.9	2.8	-0.1	43.5	18	576	62.19968902	3190.012135	Afternoon	0	1	1	3	1
66	4.35927	7.76345	9.2	5.7	-0.9	199	14	212	78.20002756	2353.008497	Afternoon	0	1	1	3	1
67	4.27667	8.25713	11	5.5	-1	216	17	193	72.00027943	3855.014318	Afternoon	0	1	1	3	1
68	2.69463	5.57595	-3.5	4.6	-0.1	62.3	5	418	14.80004172	264.0002368	Morning	1	0	1	1	1
69	4.04655	7.93487	9.7	1.8	-0.6	255.5	15	529	57.19977701	2792.995626	Afternoon	0	1	1	2	1
70	3.91202	6.32972	1.5	1.6	0.5	275	24	114	49.99984973	560.999492	Evening	0	0	1	2	1
71	3.19458	4.83628	2	1.7	-0.1	63.1	4	549	24.39992357	125.9997597	Evening	0	0	1	1	1
72	4.01998	7.78322	3.7	2.2	0	40.5	19	576	55.69999182	2399.990361	Afternoon	0	1	1	2	1
73	3.2068	7.67276	-7.1	1.5	-0.4	53.1	15	517	24.69991988	2149.00452	Afternoon	0	1	1	1	1
74	3.8111	8.22013	2	3.5	-0.2	82	8	64	45.20013168	3714.985299	Morning	1	0	1	2	1
75	3.87536	7.53155	-0.7	3.3	-0.2	179.3	20	522	48.20004719	1865.995556	Evening	0	0	1	2	1
76	4.43438	7.83992	1	6.9	-0.3	81.7	11	558	84.29984278	2540.001626	Morning	1	0	1	3	1
77	2.85647	5.0626	2.4	2.1	0.3	216	4	177	17.39999641	158.0007848	Evening	0	0	1	1	1
78	4.2312	8.17245	4.2	5.9	0.3	214	16	108	68.79974235	3542.011269	Afternoon	0	1	1	3	1
79	4.11087	8.24905	0.8	1.3	0.2	215	8	162	60.99976429	3823.991304	Morning	1	0	1	3	1
80	3.48124	6.53088	0.5	2.1	0	83	23	58	32.4999971	686.0016274	Evening	0	0	1	2	1
81	4.10099	8.18702	-4	0.9	0.9	245.9	16	513	60.40005406	3593.996164	Afternoon	0	1	1	3	1
82	3.32504	7.81682	-3.6	4	0	43.4	18	409	27.80011062	2482.000085	Afternoon	0	1	1	1	1
83	4.75014	7.62462	3.8	2	2.8	283.1	20	543	115.6004675	2048.002076	Evening	0	0	1	3	1
84	2.62467	7.23634	5	3.5	-0.1	62	23	196	13.80001943	1389.000913	Evening	0	0	1	1	1
85	3.99268	7.98718	-1.6	5.3	0.6	227	18	81	54.19995076	2942.986026	Afternoon	0	1	1	2	1
86	3.95316	7.41156	3.3	6.8	1	197.2	20	472	52.09974217	1655.006144	Evening	0	0	1	2	1
87	3.89589	7.91681	-9.1	1.6	0.6	21	14	83	49.19982172	2743.006882	Afternoon	0	1	1	2	1
88	5.115	7.84463	-0.1	1	1.8	174	18	50	166.500781	2551.993251	Afternoon	0	1	1	3	1
89	2.11626	4.68213	-7.6	4.4	0.1	66.2	3	407	8.300037227	107.9998675	Evening	0	0	1	1	1
90	3.71113	8.21311	1.1	9.3	0.1	213.9	17	481	40.89999742	3688.997427	Afternoon	0	1	1	2	1
91	4.3399	6.1506	-0.6	1.3	1.2	337	7	146	76.69986897	468.9987016	Morning	1	0	1	3	1
92	2.00148	6.29342	5.6	4.3	0	98	1	211	7.399999998	541.0003901	Evening	0	0	1	1	1
93	4.2312	5.8944	-1	1.9	2.7	164	1	397	68.79974235	362.9989712	Evening	0	0	1	3	1
94	3.96651	6.57088	5.5	0.8	0.1	89	6	206	52.79993713	713.9978849	Morning	1	0	1	2	1
95	4.14155	8.3163	6.3	1.2	1.3	265	17	33	62.9002413	4089.998981	Afternoon	0	1	1	3	1
96	4.21065	7.83003	9.5	0.8	0.1	110.7	19	597	67.40033579	2515.004822	Afternoon	0	1	1	3	1
97	4.54223	8.26178	1	3.4	1.3	248	8	43	93.89996373	3872.981876	Morning	1	0	1	3	1
98	3.9279	5.47227	-3.8	3.6	1.9	76.7	6	469	50.80018519	237.9998397	Morning	1	0	1	2	1
99	2.93916	6.53088	-4.2	3.8	0.1	64.3	8	503	18.89996367	686.0016274	Morning	1	0	1	1	1
100	2.5177	7.0775	4.9	4.9	-0.1	229	11	126	12.40004374	1185.002307	Morning	1	0	1	1	1
101	3.39786	4.77912	-3.7	0.9	-0.1	311	2	513	29.90004544	118.9995843	Evening	0	0	1	1	1
102	3.19458	5.7462	-6.4	5.1	-0.1	82	6	118	24.39992357	312.9990014	Morning	1	0	1	1	1
103	3.82864	4.77912	-1	1.1	2.3	291	3	36	45.99993576	118.9995843	Evening	0	0	1	2	1
104	1.335	5.47646	-1	4.4	0.4	5.8	5	553	3.799995946	238.9991511	Morning	1	0	1	1	1
105	4.44852	7.87131	5.9	1.3	-0.1	85	9	184	85.50030986	2620.996846	Morning	1	0	1	3	1
106	3.71601	7.19519	-2.5	5	0	66.3	22	427	41.10007721	1333.003572	Evening	0	0	1	2	1
107	1.79176	4.89035	-4.1	6.3	-0.1	45.1	6	455	6.000003185	133.0001159	Morning	1	0	1	1	1
108	4.75617	7.82724	-10.1	1.7	0.6	70.8	7	443	116.2996442	2507.997738	Morning	1	0	1	3	1
109	3.88773	5.71043	-2.1	1	0.5	211	6	55	48.79998473	302.0009008	Morning	1	0	1	2	1
110	2.95491	4.80402	2.8	5	-0.1	80	4	186	19.19999464	121.9998725	Evening	0	0	1	1	1
111	4.31482	7.93164	14.2	8.1	-2.1	209.1	14	577	74.8001582	2783.988804	Afternoon	0	1	1	3	1
112	4.12066	8.17527	-3.9	2.8	0.3	52.4	16	486	61.59988477	3552.013838	Afternoon	0	1	1	3	1
113	3.37759	5.76205	0.1	0.4	0.2	145	2	112	29.30007278	317.9995603	Evening	0	0	1	1	1
114	3.99083	7.02909	-16.2	2.6	0.9	73	22	91	54.09977355	1129.00275	Evening	0	0	1	2	1
115	4.11087	7.62217	-3.4	2.9	1.7	213	20	81	60.99976429	2042.990613	Evening	0	0	1	3	1
116	3.01062	7.17396	-7	7.8	-0.1	49	11	90	20.29998201	1305.002193	Morning	1	0	1	1	1
117	4.10759	7.5475	-8	0.3	-0.2	289	14	95	60.80001283	1895.996809	Afternoon	0	1	1	3	1
118	2.54945	5.52943	-1.5	7.5	0.3	3	5	40	12.80006181	252.0002299	Morning	1	0	1	1	1
119	1.50408	5.86079	6.5	3.6	0.1	49	2	196	4.500011715	351.0013256	Evening	0	0	1	1	1
120	3.57235	7.32778	-4.9	4.6	0.3	359	21	116	35.60015529	1521.999181	Evening	0	0	1	2	1
121	4.56331	8.1778	-4.2	1.4	0.2	86	16	101	95.90038534	3561.011811	Afternoon	0	1	1	3	1
122	4.38577	7.73237	-5.2	0.6	0.1	91	7	74	80.30003044	2281.001774	Morning	1	0	1	3	1
123	3.44042	6.79571	-4	3.7	-0.2	56.9	11	434	31.20005944	894.003777	Morning	1	0	1	2	1
124	1.72277	6.06146	-4.7	4.8	-0.3	44.8	9	406	5.600019053	429.0013218	Morning	1	0	1	1	1
125	4.29729	7.6353	9.5	1.6	-5.4	226.6	11	529	73.50033764	2069.991955	Morning	1	0	1	3	1
126	3.35341	7.04925	2.3	3.1	0.7	225	22	120	28.60009387	1151.994423	Evening	0	0	1	1	1
127	4.3386	7.67879	4.1	4.4	0.5	297.1	10	473	76.60022392	2162.002166	Morning	1	0	1	3	1
128	2.99072	6.93925	4.2	5.5	-0.4	238	9	160	19.90000534	1031.995928	Morning	1	0	1	1	1
129	4.237	6.3315	-5.1	1.6	1	251.6	8	468	69.19994031	561.9989604	Morning	1	0	1	3	1
130	4.5819	8.26256	3.8	0.7	-0.4	161	8	191	97.69984768	3876.003981	Morning	1	0	1	3	1
131	4.17285	7.91498	-3.5	1.8	0.2	222	18	520	64.90015422	2737.99177	Afternoon	0	1	1	3	1
132	3.56105	6.39024	2	0.6	1.1	177	7	139	35.20013789	595.9996024	Morning	1	0	1	2	1
133	3.16548	6.34036	-4.1	2.9	-0.1	60.6	8	433	23.70011736	567.0003948	Morning	1	0	1	1	1
134	4.39198	7.91206	-5.2	4.5	-0.1	76	9	120	80.80024519	2730.008495	Morning	1	0	1	3	1
135	3.01062	7.96728	9.8	2.2	0	44	18	189	20.29998201	2884.999484	Afternoon	0	1	1	1	1
136	4.40672	7.83637	8.9	0.5	-0.6	296	15	184	82.00006172	2531.000606	Afternoon	0	1	1	3	1
137	4.29729	8.21203	2.9	2.2	-0.1	73	17	129	73.50033764	3685.01546	Afternoon	0	1	1	3	1
138	2.64617	5.44674	1.6	2.9	-0.1	220.9	5	545	14.09993236	232.0006098	Morning	1	0	1	1	1
139	3.84588	7.66763	0.6	5.8	0	42.1	14	480	46.7998501	2138.008356	Afternoon	0	1	1	2	1
140	4.62399	7.59337	-7.5	3.2	-0.2	59.7	11	435	101.8998023	1984.991677	Morning	1	0	1	3	1
141	3.68888	6.52649	-0.3	6.1	-0.2	68.9	6	429	40.00002184	682.9966809	Morning	1	0	1	2	1
142	3.79098	8.31899	1.6	2.7	-0.3	209.9	16	523	44.29979281	4101.01589	Afternoon	0	1	1	2	1
143	3.96081	7.32712	9.3	4.3	-0.2	214.1	21	582	52.4998336	1520.994992	Evening	0	0	1	2	1
144	4.51196	7.25276	1.1	1.4	1.2	78.9	21	530	91.10020003	1411.996586	Evening	0	0	1	3	1
145	3.82647	7.9848	-8.8	2.1	-0.2	48	15	88	45.90022413	2935.990048	Afternoon	0	1	1	2	1
146	4.58802	6.64509	-6.8	1.1	0.1	145.8	24	444	98.29960413	768.9992545	Evening	0	0	1	3	1
147	3.02529	7.05531	11.2	3.3	2.3	302.8	23	604	20.59997784	1158.996705	Evening	0	0	1	1	1
148	3.66356	7.80344	4.9	2.9	0.4	189	15	133	38.9999358	2449.012106	Afternoon	0	1	1	2	1
149	3.48431	7.61283	20.3	4.2	-3.9	278.9	10	607	32.5999254	2023.997914	Morning	1	0	1	2	1
150	2.55723	7.67555	6.8	9.9	-0.2	249	15	160	12.90003468	2155.008615	Afternoon	0	1	1	1	1
151	4.83787	8.19589	-4.2	0.8	0.4	247.2	16	445	126.2002587	3626.016711	Afternoon	0	1	1	3	1
152	4.30271	8.13124	4.1	6.5	0	58.1	9	576	73.89979101	3399.011728	Morning	1	0	1	3	1
153	3.25424	6.92756	1.8	4.2	0.3	207	23	130	25.89992311	1020.002136	Evening	0	0	1	1	1
154	3.85862	7.52348	3.4	6	0.2	191	14	482	47.39989436	1850.99757	Afternoon	0	1	1	2	1
155	4.21656	7.0076	-3.4	1.5	1.7	76	23	44	67.79985118	1104.999322	Evening	0	0	1	3	1
156	4.08261	8.19616	-4.1	0.4	0.4	270.5	17	401	59.30004115	3626.995868	Afternoon	0	1	1	2	1
157	2.5337	4.81218	-6.4	4.7	0.4	75.9	7	451	12.60004014	122.9994643	Morning	1	0	1	1	1
158	3.61092	7.61431	0.9	3.9	0.1	107	19	65	37.00007723	2026.995649	Afternoon	0	1	1	2	1
159	3.45947	7.94058	4.3	5.6	-0.9	64	12	174	31.80011799	2808.98925	Morning	1	0	1	2	1
160	3.23475	7.4378	2.1	1.6	1	205	20	178	25.40002098	1699.008288	Evening	0	0	1	1	1
161	3.84802	8.01334	1.2	2.3	0.1	245	17	168	46.90010902	3020.990389	Afternoon	0	1	1	2	1
162	3.23868	4.54329	6.5	3.7	0	80	4	185	25.50003947	93.99955047	Evening	0	0	1	1	1
163	4.23555	7.97488	-1.6	3.5	0.5	34.5	18	480	69.0996731	2907.00901	Afternoon	0	1	1	3	1
164	2.87356	7.23634	1.2	4.3	0	64.3	21	404	17.69991788	1389.000913	Evening	0	0	1	1	1
165	4.41764	8.25192	0	3.5	-0.2	77	8	157	82.90040935	3834.981923	Morning	1	0	1	3	1
166	4.14155	7.57147	8.4	1.8	-0.9	108	13	191	62.9002413	1941.992914	Afternoon	0	1	1	3	1
167	3.14845	6.74993	-2.8	2	-0.9	231.8	10	504	23.2999217	853.9989805	Morning	1	0	1	1	1
168	2.4248	4.56435	-3.9	1.4	-0.1	76.8	4	521	11.2999692	96.00017362	Evening	0	0	1	1	1
169	4.02535	6.95559	-7.5	1.3	2.3	236	20	86	55.99990532	1048.997264	Evening	0	0	1	2	1
170	4.21656	7.5974	0.3	0.8	1.7	113.3	22	483	67.79985118	1993.007334	Evening	0	0	1	3	1
171	3.46574	5.88888	9	1	0.2	151.6	2	601	32.00013111	361.000737	Evening	0	0	1	2	1
172	2.83321	5.64191	4.6	2.5	0.7	229	2	125	16.99994315	282.000826	Evening	0	0	1	1	1
173	2.44235	6.4151	3.6	4	0	68.2	24	573	11.50003409	611.0018579	Evening	0	0	1	1	1
174	4.16667	7.85941	1.3	2.2	0.2	227	7	141	64.50030807	2589.991829	Morning	1	0	1	3	1
175	4.22244	5.86363	-0.6	0.6	1.7	142	1	79	68.19968868	351.9995862	Evening	0	0	1	3	1
176	4.60717	7.82285	3.4	2.3	0.5	8	15	44	100.2001815	2497.01176	Afternoon	0	1	1	3	1
177	1.62924	5.50533	1.5	4.3	0.2	156	4	62	5.099997247	245.9996222	Evening	0	0	1	1	1
178	4.3	8.19864	2.4	3.4	0.4	186	16	148	73.6997937	3636.001981	Afternoon	0	1	1	3	1
179	2.73437	6.12249	4.5	2.9	0.6	196	1	125	15.40003835	455.9987189	Evening	0	0	1	1	1
180	4.89933	7.98071	-11.6	3.1	0.3	78.8	9	444	134.1998357	2924.006372	Morning	1	0	1	3	1
181	4.07414	7.9179	2.7	2.5	0	212	9	131	58.79989093	2745.99839	Morning	1	0	1	2	1
182	4.02356	7.71423	-2.1	3.2	-0.1	39.9	7	432	55.89975515	2239.997436	Morning	1	0	1	2	1
183	4.25135	7.95893	-1.7	3.7	0	40.8	15	431	70.20011857	2861.010033	Afternoon	0	1	1	3	1
184	3.65325	7.61628	5.1	2.9	1.1	192	20	192	38.59991213	2030.992766	Evening	0	0	1	2	1
185	4.26549	5.17615	-2.7	2.2	1.5	219	3	153	71.19979933	177.0000473	Evening	0	0	1	3	1
186	4.47506	7.29029	10.8	2.3	0.5	85.5	22	570	87.79986824	1465.995774	Evening	0	0	1	3	1
187	3.16969	7.82084	18.1	3.7	-2.1	244	16	568	23.80010518	2491.997807	Afternoon	0	1	1	1	1
188	2.80336	6.87316	5.6	7	0.6	191	21	125	16.49999372	965.9962962	Evening	0	0	1	1	1
189	3.69387	7.96207	7.3	2.8	0.7	317	16	35	40.20012078	2870.007724	Afternoon	0	1	1	2	1
190	3.88568	6.92166	6.4	0.5	-2.1	71	9	188	48.70004723	1014.001841	Morning	1	0	1	2	1
191	4.35414	7.6834	3.6	2.9	-0.3	74	10	187	77.79988865	2171.992005	Morning	1	0	1	3	1
192	4.4128	7.21008	-1.8	1.8	1.1	2	21	135	82.5001408	1353.000503	Evening	0	0	1	3	1
193	3.08649	4.84419	7.7	3.5	0.1	81.8	4	589	21.90007365	127.00037	Evening	0	0	1	1	1
194	4.37827	8.19589	-3.2	2	3	211.7	17	400	79.70003301	3626.016711	Afternoon	0	1	1	3	1
195	3.87536	6.86485	0.8	1.5	-0.1	231.5	23	540	48.20004719	958.0021287	Evening	0	0	1	2	1
196	4.05352	7.79194	8	4.1	-0.2	207.6	13	585	57.5998521	2421.009788	Afternoon	0	1	1	2	1
197	4.19117	5.77144	-0.4	0.4	1.9	240.4	2	539	66.10008283	320.9996395	Evening	0	0	1	3	1
198	3.10459	8.21906	11.6	5.5	-2.5	231.4	8	586	22.30007407	3711.012391	Morning	1	0	1	1	1
199	4.19117	7.71244	-9.9	2.7	0.7	78	21	119	66.10008283	2235.991427	Evening	0	0	1	3	1
200	4.25561	7.86019	-4.9	2.6	-0.1	243.1	9	481	70.49980896	2592.012811	Morning	1	0	1	3	1
201	3.18221	6.8977	-1.4	4.8	-0.1	72	23	57	24.09995564	989.9951063	Evening	0	0	1	1	1
202	2.72785	7.18992	7	4.1	0.4	159	22	212	15.29995673	1325.997122	Evening	0	0	1	1	1
203	4.28496	7.79975	-0.8	0.8	1.1	80	18	113	72.59964268	2439.991903	Afternoon	0	1	1	3	1
204	3.09558	5.54126	-1.4	2.2	1.7	212	1	142	22.10005285	254.999096	Evening	0	0	1	1	1
205	4.39198	7.94201	-4.2	1.3	-0.2	240	15	74	80.80024519	2813.008978	Afternoon	0	1	1	3	1
206	3.24649	5.20401	6.7	1.5	0	80.5	2	592	25.69997451	182.000603	Evening	0	0	1	1	1
207	4.27528	7.42536	1.1	1.5	2.2	273.1	20	540	71.90026857	1678.003546	Evening	0	0	1	3	1
208	2.78501	6.64379	-5.7	1.9	-0.3	74.2	23	517	16.19997988	768.0002049	Evening	0	0	1	1	1
209	3.79549	7.83003	6.4	4.3	-0.1	30.4	13	397	44.50003608	2515.004822	Afternoon	0	1	1	2	1
210	4.15261	5.17615	-1.7	0.4	1.1	183.1	5	535	63.59977929	177.0000473	Morning	1	0	1	3	1
211	4.07244	6.53669	-0.8	2	0.8	70.6	24	514	58.70001603	689.9988977	Evening	0	0	1	2	1
212	4.36055	7.64588	5	1.5	-1.1	243.2	14	527	78.30018769	2092.008734	Afternoon	0	1	1	3	1
213	3.07269	7.61825	8.4	2.8	-1.1	133.1	13	581	21.5999284	2034.997766	Afternoon	0	1	1	1	1
214	2.79728	4.62497	-9.6	2.9	0.8	73	6	86	16.39997811	101.999713	Morning	1	0	1	1	1
215	3.59731	7.46851	-3.5	0.7	0.2	165.1	20	520	36.49991749	1751.994268	Evening	0	0	1	2	1
216	4.55703	7.74803	-4.1	2	-0.1	85	15	99	95.30001804	2317.003419	Afternoon	0	1	1	3	1
217	4.70863	7.52726	-6.4	3.3	0	60.5	13	435	110.9001226	1858.007582	Afternoon	0	1	1	3	1
218	4.3108	7.88758	-5	4.7	-0.1	47.2	9	409	74.50006516	2663.98926	Morning	1	0	1	3	1
219	3.59182	6.80351	-9.3	3.6	0.3	73	8	83	36.30008199	901.0042729	Morning	1	0	1	2	1
220	4.14472	7.80098	8.5	4.5	-0.2	203.2	19	591	63.09995144	2442.99494	Afternoon	0	1	1	3	1
221	3.02042	7.96346	3.6	3.2	1.2	268	18	42	20.49989983	2873.999808	Afternoon	0	1	1	1	1
222	3.17388	6.91473	4.8	4.6	0.2	199	23	109	23.90003683	1006.999101	Evening	0	0	1	1	1
223	4.30676	7.80262	-4.6	5.7	-0.2	81	18	122	74.19969206	2447.004739	Afternoon	0	1	1	3	1
224	3.81551	7.51152	0.4	3	-0.8	89.8	11	398	45.39990443	1828.991498	Morning	1	0	1	2	1
225	2.83908	7.47022	10.8	2.6	-3.5	262	12	203	17.10002627	1754.992742	Morning	1	0	1	1	1
226	3.83945	5.273	-13.8	3.8	0.2	79	5	95	46.49989246	195.0000861	Morning	1	0	1	2	1
227	3.85651	8.14989	5.4	3	0.1	234	15	131	47.29998602	3462.998115	Afternoon	0	1	1	2	1
228	4.2485	6.61607	0.1	0.4	2	122.3	22	531	70.00033306	747.0035967	Evening	0	0	1	3	1
229	2.96527	6.47851	4.3	3.2	1.1	218	24	138	19.39994052	651.0002329	Evening	0	0	1	1	1
230	4.53045	7.5974	2.6	1.3	0.2	233	12	50	92.80031183	1993.007334	Morning	1	0	1	3	1
231	3.21487	7.17319	-6	5.6	-0.2	65.5	22	408	24.90005469	1303.997728	Evening	0	0	1	1	1
232	3.12676	4.91998	6	3.9	-0.1	72	2	576	22.79998778	136.9998732	Evening	0	0	1	1	1
233	3.50255	7.23129	8	3.8	1.7	207.9	22	583	33.20000412	1382.00414	Evening	0	0	1	2	1
234	4.51196	7.56631	-5.5	3.5	-0.1	65.1	12	436	91.10020003	1931.998039	Morning	1	0	1	3	1
235	3.3673	7.65728	2.5	2.5	-0.2	60.8	10	404	29.00012093	2115.99409	Morning	1	0	1	1	1
236	4.42963	6.65028	-3.7	0.5	1.2	325.6	24	445	83.90036803	773.0007354	Evening	0	0	1	3	1
237	4.03954	8.08887	15.1	1.9	-5.1	240.7	9	599	56.8002087	3258.003945	Morning	1	0	1	2	1
238	4.1463	5.93754	-7.8	0.9	1	111.7	6	447	63.19972817	379.0014383	Morning	1	0	1	3	1
239	1.97408	5.43372	7	4.7	0	27.5	2	593	7.199992613	228.9995412	Evening	0	0	1	1	1
240	3.76584	7.77317	2.2	3.7	-0.7	211.7	13	523	43.19997861	2375.991255	Afternoon	0	1	1	2	1
